TEXT,start,end,sentiment,confidence
"You're telling me that my assault doesn't matter, that what happens to me doesn't matter.",179395,184522,NEGATIVE,0.663453877
Bill Cosby becomes the first celebrity to be convicted in the MeToo era for 32 years.,184630,191962,NEUTRAL,0.747322023
Abusers.,192100,192912,NEGATIVE,0.773529947
Your time is up.,192987,194677,NEUTRAL,0.617459357
"The survivors are here, standing tall, and we are not going anywhere.",194845,200087,POSITIVE,0.533773363
Falling on your knees.,200812,203162,NEUTRAL,0.535302579
What I know for sure is that speaking your truth is the most powerful tool we all have.,205162,213697,POSITIVE,0.874232531
So I want all the girls watching here now to know that a new day is on the horizon.,213805,221762,POSITIVE,0.881155491
Elections.,223387,224387,NEUTRAL,0.602278829
First Muslim women.,224812,226837,NEUTRAL,0.83232528
First Native American women.,226900,228412,NEUTRAL,0.815748513
First openly gay man elected governor.,228475,230667,NEGATIVE,0.706691384
It means something to kids and people to see images that reflect themselves.,230727,237082,POSITIVE,0.737340331
"It's historical, it moves me like it moves me into tears.",237235,241017,NEUTRAL,0.579575121
"That is going to have an impact because imagery does, you know, representation does.",241077,245122,NEUTRAL,0.514766753
Run are the champions of the world.,245230,248525,POSITIVE,0.841435075
All twelve boys and their soccer coach have now been rescued from that flooded cave in Thailand.,249037,255192,NEUTRAL,0.707169056
An immigrant from Mali is being called a real life Spiderman after he rescued a child dangling from a balcony.,255252,262197,NEUTRAL,0.703722298
Look at this.,262242,262987,NEUTRAL,0.75706327
"You know, I guess one person can make a difference.",263125,267200,NEUTRAL,0.679776728
There are no limits.,267712,268947,NEUTRAL,0.632387877
That the humans near it.,268992,270487,NEUTRAL,0.727416635
Touchdown confirmed.,270550,272127,NEUTRAL,0.810860038
I believe what makes us unique is transcending our limits.,272307,276132,POSITIVE,0.853558838
"I would much rather fail gloriously than not venture, not tried.",276222,281625,NEGATIVE,0.741036952
"Do you use a smartphone, tablet or computer just before you head to bed?",6687,11902,NEUTRAL,0.908552289
Then it's time to change.,12070,13942,NEUTRAL,0.752140105
"Smartphones, tablets, and computer screens all produce light towards the blue end of the spectrum, and that prevents your brain from producing a sleep hormone called melatonin.",14140,24852,NEUTRAL,0.641248643
"This, in turn, disrupts your deep sleep and dreaming.",25032,28392,NEGATIVE,0.828296363
So make sure you turn down the brightness of these devices in the hour or so before you go to bed.,28527,34027,NEUTRAL,0.823027372
"Or better still, turn them off completely.",34120,36650,NEUTRAL,0.543260157
And don't put them on your bedside table.,37237,39522,NEGATIVE,0.502877891
Otherwise you'll be tempted to use them during the night.,39642,42697,NEUTRAL,0.65865761
"The message is clear if you want to sleep well, it's time to banish the blues.",42880,47912,NEUTRAL,0.725240827
You.,57187,57450,NEUTRAL,0.5462569
Little Orpheus is a casual 2D platformer developed by the Chinese Room and published by Secret Mode.,6312,13017,NEUTRAL,0.934497535
"You play as Comrade Ivan Ivanovich, a Soviet cosmonaut on a mission to discover what to his ship Little Orpheus.",13152,21087,NEUTRAL,0.901849866
"After three years of being missing in action, you emerge as a selfproclaimed hero and upon your return are questioned by the general with questions about your whereabouts, what happened to Little Orpheus, and the overall mission.",21237,34332,NEUTRAL,0.78102237
"Your journey unfolds through the Tales retelling your adventure will have you traveling across various worlds and other unique locations, avoiding all sorts of tremendous danger along the way.",34422,46267,NEUTRAL,0.497255981
"Although the plot is primarily told in the background, it feels like the star of the show.",46390,51562,POSITIVE,0.526201546
"As you play, lines of dialogue spill into the foreground, dropping hints of exposition, background and banter between Ivan and Denner.",51700,60162,NEUTRAL,0.889661849
"Each adventure becomes progressively more absurd and insane, instantly capturing my interest and making me care for both characters.",60312,68232,NEGATIVE,0.466223061
"Now, I wasn't too happy with the third act, as it became a bit too predictable.",68397,72942,NEGATIVE,0.962512493
"However, I did appreciate the feelgood ending.",73077,75942,POSITIVE,0.936649024
"Overall, the story was surprisingly entertaining and eloquently interwoven into the core.",76077,81267,POSITIVE,0.9829337
"Gameplay gameplay is a bit hit or miss, with only five or so inputs, platforming feels a bit basic.",81327,88572,NEGATIVE,0.68607825
"You're limited to jumping, crouching, and interacting with items throughout the entire playthrough.",88692,94047,NEUTRAL,0.701398611
"Sure, there are some QuickTime events that will surprise you, but that doesn't quite add a proper challenge.",94167,99957,NEUTRAL,0.511941016
"Despite the simplicity, I enjoyed the easygoing experience as it spotlighted the ongoing story.",100122,105877,POSITIVE,0.957534432
It's an odd tradeoff that results in easy gameplay that bleeds into the puzzle design as well.,106045,111562,NEUTRAL,0.584486783
Puzzles are elementary and are nearly impossible to get stuck on.,111700,115642,NEGATIVE,0.87383461
You can expect standard mechanics like dragging items for platforming purposes and interacting with correct levers all smooth and very easygoing.,115765,124467,POSITIVE,0.62820822
"Although the puzzles and gameplay could have benefited from variety, I had way too much fun breezing through the extraordinary worlds.",124602,132387,POSITIVE,0.939580739
"Little Orpheus was made to be a bitesized adventure that's entertaining, not daunting.",132537,137922,POSITIVE,0.642073214
"It doesn't need brainbusting puzzles or overthetop boss fights, because at its core, the gameplay is satisfying, the story is immaculate, and the visuals are gorgeous.",138042,148647,POSITIVE,0.956767678
I was pleasantly surprised at how stunning the background visuals are.,148842,153067,POSITIVE,0.987938643
Colors are bright and pop beyond the twodimensional plane.,153190,156747,POSITIVE,0.906068027
"It's vivacious, it adds to the narrative, and it truly feels like the cherry on top.",156867,162217,POSITIVE,0.918520272
Little orpheus is Simplistically beautiful?,162415,165322,POSITIVE,0.521302879
"Although the gameplay is a bit too relaxed for my usual taste, the fantastic art, design and whimsical storytelling truly make the adventure spectacular.",165505,174357,POSITIVE,0.907633066
"If you're in search for an interactive story that sprinkles in some light puzzles and platform challenges, it might be time to explore with Ivanovanovich.",174522,182832,POSITIVE,0.521057308
"Little orpheus is available now on apple arcade steam xbox series, nintendo switch PlayStation and the epic game store.",182997,191775,POSITIVE,0.540025651
"I started collecting racist objects when I was a teenager, and the stuff was everywhere.",6162,11912,NEGATIVE,0.685674369
"At a certain point, I ended up with thousands of pieces.",12262,15537,NEUTRAL,0.718148291
I didn't know what I would do with it.,15612,17212,NEUTRAL,0.509820044
I just thought a lot about what it meant to be a person of color.,17275,20272,NEUTRAL,0.863013804
"Living during Jim Crow had no intention of creating a museum, but the collection kept growing.",20380,26907,NEUTRAL,0.555698872
"So in the 1990s, I gave my collection to the university.",27072,31262,NEUTRAL,0.873436391
"It took 15 years, but in 2012, we opened this museum.",31612,36512,NEUTRAL,0.620945811
"I have lots of respect for museums that celebrate African American history, that celebrate African American accomplishment, but that's not what this facility was.",37462,46957,NEUTRAL,0.540105999
I wanted to create an actual racism facility to have people focused on this specific topic in terms of our history.,47035,56842,NEUTRAL,0.755522907
"So if you just have a society with millions of just postcards like this, does that reinforce certain ideas about black people and white people?",56965,65467,NEUTRAL,0.500416219
"Some of the best discussions we have in the museum are about the word nigger, which sounds kind of weird, by the way, because I'm a sociologist, and we don't believe words have any inherent meaning.",65665,74847,POSITIVE,0.557364643
They're just sound signs that we give.,74967,77062,NEUTRAL,0.803426087
"But we do believe that people, once the meanings are given, that they are shared.",77200,81567,NEUTRAL,0.747753978
"I mean, no peace is inherently racist.",81627,84357,NEGATIVE,0.663330674
It's a racist society which will create racist objects and will racialize other objects.,84447,89922,NEGATIVE,0.950270712
That's why the watermelon has a racial there's nothing inherent about a watermelon that makes us racist.,89967,95562,NEGATIVE,0.662412226
But you know darn well that it's been racialized.,95637,98537,NEGATIVE,0.671907723
"Someone looking at ancho mama objects or other mammy images, they don't think of that as offensive.",98962,107127,NEUTRAL,0.604946733
They think of good time spent with their families.,107232,109992,POSITIVE,0.630285859
It's very nostalgic.,110127,111552,POSITIVE,0.917228341
"Someone else looking at those same pieces, they see the vestiges of slavery and segregation so often.",111657,118342,NEGATIVE,0.722617924
"We're not deciding that something is racist, but what we are doing are collecting pieces that help us talk about racism.",118390,125502,NEUTRAL,0.72639811
"We have lots of friends of the museum, and we receive hundreds of pieces a year.",125682,130072,POSITIVE,0.88433212
"The first director of the museum, he said to me one day, hey, there's a couple guys I want you to meet.",130180,135200,NEUTRAL,0.682517827
Here we go.,136312,137452,NEUTRAL,0.588468194
Here's some Jim Crow related materials.,137620,140892,NEGATIVE,0.5835706
"These are the dolls, and some of them are older, some are newer.",140952,149312,NEUTRAL,0.865935028
"These are like, 1950s, two female.",149887,153627,NEUTRAL,0.804334402
"Yeah, those are really interesting.",153732,156337,POSITIVE,0.950459719
They are our group of friends.,156475,158782,POSITIVE,0.736014545
Friends were all collecting this because we realized what it said about our society and what it said about where we were in the past and where maybe we still were.,158860,169657,NEUTRAL,0.828225255
"When we met David Pilgrim in the whole Jim Crow Museum and all of that, it was like, finally, there's a place where we can put this, a sense of relief that we could let go of these objects so other people could learn from it.",169810,183787,POSITIVE,0.611157358
We have some understanding of bigotry.,183850,187542,NEUTRAL,0.715290666
We have some understanding of being the outsider or not being accepted or being told that we are not welcomed we can't be accepted.,187602,198177,NEGATIVE,0.517554343
You have no place here.,198357,200450,NEGATIVE,0.83964628
"I think because we've experienced that in our own lives, because we're gay, there's a little transference there to trying to help understand the even bigger question of bigotry, and then likewise, racism.",200887,215762,NEUTRAL,0.487057
"Wow, this is really racist.",216187,218067,NEGATIVE,0.964962721
"This is an ashtray where the blackwasher woman, she has her one breast stuck in the wringer, and so she's hollering, My God, that's also sexist.",218127,227832,NEGATIVE,0.878921688
I think the Jim Crow would love it.,227922,229850,NEUTRAL,0.477600127
This is on multiple levels.,230287,232197,NEUTRAL,0.538933575
This is a wonderful piece.,232317,234050,POSITIVE,0.980189741
"Once we finally discovered the Jim Crow Museum, it gave us more impetus to go out and find, collect, save.",234487,241837,POSITIVE,0.661369741
They now have at least 500 things from us.,241975,245167,NEUTRAL,0.774411678
"By collecting those things, we get a broader picture of how racism continued all the way up into the still continues.",245290,255402,NEUTRAL,0.54259938
I've seen things about President Obama that were horrible.,255432,259512,NEGATIVE,0.963315785
I think people who go to the Jim Crow Museum are often surprised when they see something from 2015 as racist as many of the things from 100 years ago.,259662,272047,NEGATIVE,0.781266034
"And we've had friends who are a complete mess after they've left, because suddenly they've been confronted with the truth for many years.",272230,282892,NEGATIVE,0.713689625
"When I traveled, I would say that the United States, despite this history of enslavement and Jim Crow, that we are today more Democratic and more egalitarian than we've ever been.",282940,293392,POSITIVE,0.792164028
And I stopped saying that about two years ago.,293590,296225,NEUTRAL,0.576115072
I'm not suggesting that we are back in the gym crawl period.,299137,302502,NEUTRAL,0.675508916
Don't get it twisted.,302532,303402,NEUTRAL,0.594105184
It's not like that.,303432,304507,NEGATIVE,0.487663597
But what I am saying is I hear and see a level of racist rhetoric that is reminiscent of when I was growing up in Alabama under Governor George Wallace.,304660,314787,NEGATIVE,0.897924066
"People say they don't want to talk about race, but they're doing it all the time.",314937,318022,NEGATIVE,0.631118298
But they're not not talking about it in places where their ideas can be challenged.,318130,322587,NEGATIVE,0.492973417
The Supreme Court has delivered its verdict on the validity of the central law for 10% reservation benefits to economically weaker sections.,162,8037,NEUTRAL,0.903903067
"The bench ruled on a bunch of legal issues surrounding the validity of the 103rd Constitution Amendment, which provided the 10% reservation for EWS, and the Supreme Court has upheld it.",8187,20602,NEUTRAL,0.748519242
"Now, the 103rd Amendment to the Constitution provided 10% reservation in jobs and admissions to EWS economically because sections who were to be persons other than SCST and OBC and whose annual family income was below eight lakh rupees.",20695,38742,NEUTRAL,0.818592668
This had been introduced just before the 2019 general election.,38802,42627,NEUTRAL,0.911233604
"There were as many as 40 petitions that were heard by the Supreme Court against it, including by State Tamil Nadu.",42732,50397,NEUTRAL,0.771163046
So today the Supreme Court upholding that 10% quota.,50442,54747,NEUTRAL,0.695672452
"We're joined by Sanjay Hege, senior advocate in the Supreme Court.",54792,57852,NEUTRAL,0.836512387
"So, your first reaction to this development?",57882,60737,NEUTRAL,0.871748984
"Well, constitutional amendments are very difficult to dislodge.",61762,66212,NEGATIVE,0.537777901
The only challenge is that it violates the basic structure of the Constitution.,66637,71987,NEGATIVE,0.751747251
"I am not sure whether it's a unanimous judgment, because the judgment of Justice Ravenrobat had not been yet pronounced when I came on here.",73012,81575,NEUTRAL,0.727015197
There will be plenty who will see this as the course of reservations changing.,82987,93597,NEUTRAL,0.750222981
It's tied.,93717,94712,NEUTRAL,0.700356066
There are many observations in the judgment which say that reservations are not to be there for a full time.,95962,102127,NEUTRAL,0.700729966
I do expect that all that the Supreme Court has said today will continue to engage the nation as well as thinkers on the Constitution for quite some time.,102295,114200,NEUTRAL,0.594943166
Just Mr.,115312,116362,NEUTRAL,0.740965009
"Marinopal, who was the former director of the National Law School of India, while arguing it, arguing the matter, said that this is the adm troubleshoot moment for social justice.",116425,128652,NEUTRAL,0.849514902
"Now, for those of you who do not know, IDM Jabalport was a decision of the Supreme Court during the emergency which took away the right to life in India.",128832,139377,NEGATIVE,0.515517652
"Today, I have no doubt that many of the forces of social justice will not be satisfied with this judgment.",139557,148662,NEGATIVE,0.71033448
"In some ways, the Federal Reserve is like a company.",237,3052,NEUTRAL,0.714870334
It has a balance sheet with assets that bring in money on one side and liabilities that cost money on the other.,3145,10927,NEUTRAL,0.623319328
But what the Fed keeps on its balance sheet has ramifications for the economy.,11020,15747,NEUTRAL,0.77029562
The balance sheet is the tool that they use to control and manage interest rates.,15867,21162,NEUTRAL,0.832209349
"And for the last 15 or so years, the Federal Reserve has actually made money off of this balance sheet.",21237,27072,NEUTRAL,0.771053135
Until today.,27192,28312,NEUTRAL,0.724716246
"Thanks to, well, the Fed's own policies, they're losing money because they're raising interest rates a lot.",28450,33847,NEGATIVE,0.809347332
Here's how the Fed makes money and why they're not.,33955,36847,NEUTRAL,0.574924767
Now this is what their balance sheet looks like.,36880,41512,NEUTRAL,0.621751368
"On the asset side, they have U.",41575,43282,NEUTRAL,0.794264674
S.,43285,43447,NEUTRAL,0.539962947
"Treasury securities, like bonds.",43480,45507,NEUTRAL,0.745628953
They're considered really stable lowrisk investments.,45672,48687,POSITIVE,0.666953743
And the Fed buys them sometimes a lot of them to help stabilize the economy.,48762,53337,NEUTRAL,0.738921881
The point of it is to bring down longerterm interest rates.,53412,56052,NEUTRAL,0.84065932
"So if more people are purchasing these securities, in this case the Fed, that's going to drive down the interest rate.",56082,61972,NEUTRAL,0.723839164
There's more demand for the bond.,62005,63792,NEUTRAL,0.753067493
"And the Fed purchases mortgage backed securities too, which are what they sound like when they invest in them.",63927,69592,NEUTRAL,0.792190552
They're basically investing in people's mortgages.,69640,72147,NEUTRAL,0.605318069
"If you have a two and a half percent mortgage rate, that was in part because the Fed was buying mortgage backed securities during the Pandemic.",72267,79782,NEUTRAL,0.675896287
"So that's the asset side, which totals nearly $9 trillion.",79872,83707,NEUTRAL,0.797412694
"On the liabilities side, the Federal Reserve has literally all of the currency in circulation.",83860,89862,NEUTRAL,0.598226964
It's why all money has Federal Reserve note written on it.,90012,93487,NEUTRAL,0.806449115
"It's a liability of the Fed, the US.",93550,96037,NEGATIVE,0.789706767
Central bank.,96100,96972,NEUTRAL,0.609206498
The Fed is also a bank for other banks.,97092,99642,NEUTRAL,0.76150167
And their main liability is reserves of money that other banks keep at the Fed.,99702,104097,NEUTRAL,0.598412037
It's another way they can influence the economy.,104217,107112,NEUTRAL,0.595264077
"There's some concern that if you had all this money out there, you could have even more inflation.",107262,112887,NEGATIVE,0.638617516
You could have economic effects that you don't intend.,113037,115812,NEGATIVE,0.691517889
So one of the ways to prevent that money from spurring even more demand is to have banks hold it at the Fed.,115887,124437,NEUTRAL,0.783361077
And the Fed controls interest rates by setting the rate of interest on those reserves.,124512,130197,NEUTRAL,0.865471423
"When the Fed raises interest rates on these reserves, it affects other markets, from bank loans to mortgages.",130392,136782,NEUTRAL,0.714244068
But really it means the Federal Reserve has to pay more in interest to those banks.,136947,142412,NEGATIVE,0.501036584
"For years, that amount was really low, usually below 1%.",142912,147200,NEUTRAL,0.576220036
"Yet the Fed's assets, on average, pay 2.3% in interest.",147562,152525,NEUTRAL,0.60389781
So the Fed's assets were bringing in more interest than its liabilities were costing.,152962,158442,NEUTRAL,0.703012288
"The Fed was actually turning a profit, and it would send that profit to the US.",158577,163237,NEUTRAL,0.734884501
Treasury.,163300,164157,NEUTRAL,0.625038326
"In the last eleven years, this profit would range from about four to $12 billion a month.",164322,170692,NEUTRAL,0.840079486
The money that the Fed sends to the treasury means the treasury doesn't have to raise as much money in the private market.,170815,176677,NEUTRAL,0.802473605
It means the borrowing needs of the US government are smaller.,176770,180627,NEUTRAL,0.709097266
It means deficits are lower than they would otherwise be.,180732,183622,NEUTRAL,0.580942452
But now that the Federal Reserve is raising interest rates that profit is now a loss.,183730,189102,NEGATIVE,0.542704761
They are raising interest rates so much that they're going to pay more out than they take in.,189282,194300,NEGATIVE,0.729952216
This idea of the Fed even having a profit or loss is a relatively new one.,194662,199747,NEUTRAL,0.741228342
Before 2008 the Fed's balance sheet looked like this about a trillion dollars in assets and liabilities mainly treasury securities to COVID the currency in circulation.,199855,209847,NEUTRAL,0.80416584
But then the 2008 financial crisis hit.,210042,212707,NEGATIVE,0.647523105
They dropped interest rates to zero but wanted to do even more.,212785,216682,NEUTRAL,0.590700865
So they bought treasury and mortgage backed securities to push interest rates down even further.,216760,221787,NEUTRAL,0.726434708
That began a decade of growth of the Fed's balance sheet as interest rates stayed low and the central bank utilized these assets and liabilities to influence the economy.,221937,231582,NEUTRAL,0.666026175
Although they tried to shrink the balance sheet at times the plan was never to permanently expand the balance sheet.,231672,237192,NEUTRAL,0.780424774
Then COVID comes and there was a financial panic in March 2020 and they bought just an enormous staggering amount of treasury securities and mortgage backed securities.,237252,247302,NEUTRAL,0.484070361
So with a large balance sheet comes large profits but now also large losses.,247482,252897,NEUTRAL,0.571154356
So when the Fed loses money what happens?,253017,255277,NEGATIVE,0.512199223
They create basically an IOU where they will pay back later the money that they're losing now.,255445,261547,NEGATIVE,0.501658797
They call this a deferred asset.,261655,263547,NEUTRAL,0.795622826
Basically they'll pay themselves back later the treasury will have less money which means they'll have to take on more debt to add to the deficit.,263667,271962,NEGATIVE,0.629390001
But for the Federal Reserve experts say it shouldn't change their day to day operations and they're not too worried about it.,272037,278782,NEUTRAL,0.768483102
The Feds pretty clear their goals are to achieve low and stable inflation and strong employment.,278860,284232,POSITIVE,0.573485911
It doesn't say anything anywhere that they're supposed to make a lot of money for the US.,284322,287917,NEGATIVE,0.580386639
Government and so that's how they're treating this right now.,287965,290572,NEUTRAL,0.580011666
Now that the Fed has accumulated such a large balance sheet to manage the economy it must manage not just its gains but also its losses.,290680,299612,NEUTRAL,0.75733763
You.,303412,303675,NEUTRAL,0.5462569
These are GPS markers of liquid natural gas tankers in the English Channel.,1062,6097,NEUTRAL,0.908578277
"Many are idling, or sailing slowly, much like this other cluster in the Gulf of Cadiz off the coast of Spain.",6280,14087,NEUTRAL,0.829093754
Each of these ships is carrying enough liquefied natural gas to heat a million homes a month.,14437,19417,NEUTRAL,0.694186568
"But they can't unload their cargo, at least not right now.",19465,22612,NEGATIVE,0.592158556
Lots of state.,22750,23602,NEUTRAL,0.647977531
The economy would really nosedive if source of gas were to run out.,23695,28627,NEGATIVE,0.773053527
So what's behind these tanker traffic jams?,28720,31407,NEUTRAL,0.494536906
And what might they mean for Europe's energy needs?,31497,34162,NEUTRAL,0.800166488
"This winter, European nations are racing to store natural gas, a commodity the continent relies on to fuel its factories, power its cities and heat its homes.",34225,46377,NEUTRAL,0.676905155
But recent supply chain bottlenecks threatened to undermine Europe's energy security.,46557,51125,NEGATIVE,0.840881526
"Until recently, Europe relied on Russia for about 40% of the natural gas it used to heat its homes and power its industries.",52387,60222,NEUTRAL,0.638614893
"But this year's, Russian war in Ukraine threw Europe into its biggest energy crisis since the 1970s.",60342,67042,NEGATIVE,0.823337436
"Before the war, about half of the Russian gas that ended up in Europe via pipeline was transported by the Nordstream One pipeline, which runs under the Baltic Sea, connecting Russia's Siberian gas fields to Germany.",67165,78717,NEUTRAL,0.714137554
"But in June, Russian gas giant Gas Prom began reducing gas flows through the pipeline.",78777,84222,NEUTRAL,0.544173717
We are working on the worst possible scenario.,84342,89457,NEGATIVE,0.866881192
"Then, in September, Russian indefinitely suspended natural gas flows to Europe via Nordstream.",89547,94992,NEGATIVE,0.557239652
"Later that month, European authorities released footage of the Baltic Sea bubbling amid reports of unexplained leaks from the Nordstream pipelines.",95127,103197,NEUTRAL,0.629575729
It was a deliberate act of sabotage.,103317,106632,NEGATIVE,0.790475905
Putin has launched Russia's first mobilization since World War II.,106722,111042,NEUTRAL,0.748649836
"And since many months, he is using energy as a weapon.",111102,114507,NEUTRAL,0.66348213
Western governments and intelligence agencies haven't yet named a suspected culprit.,114597,119412,NEUTRAL,0.670658827
"With the pipelines no longer operational, european leaders have turned to other countries like the United States and Qatar to supply the continent's natural gas.",119487,127587,NEUTRAL,0.515962303
But rebuilding Europe's natural gas supply chain hasn't been easy.,127662,131107,NEGATIVE,0.476243973
"To begin with, there are not enough regasification terminals for the tankers to offload their gas.",131185,136602,NEGATIVE,0.731467724
Regasification terminals are huge plants built on the coastline.,136707,139692,NEUTRAL,0.739166677
They take in liquified natural gas tankers.,139752,141927,NEUTRAL,0.814291179
They turn that liquid gas back into a gas and pump it into the domestic network.,141957,145992,NEUTRAL,0.781377196
"There are quite a few of them in Europe, but they're not distributed evenly.",146052,149052,NEUTRAL,0.521033823
You have a lot in the UK and Spain and in Portugal.,149082,151647,NEUTRAL,0.868101776
You don't have any at all in Germany.,151767,153717,NEGATIVE,0.500298023
Compounding the issue is a lack of storage.,153852,156327,NEGATIVE,0.901057065
Europe simply does not have enough space to keep the gas.,156432,159942,NEGATIVE,0.813365459
Europe does have a lot of gas and storage.,160077,162012,NEUTRAL,0.778304279
"It stores gas in caverns, underground and in tanks.",162087,165267,NEUTRAL,0.680753171
"For the past half century, Europe has been able to rely on a very steady supply of Russian gas, so there was no need to build even bigger storage facilities.",165402,173982,NEUTRAL,0.643471837
"For now, many of these giant ships are serving as temporary offshore gas storage facilities, which has resulted in part from a market dynamic known as contango.",174147,184212,NEUTRAL,0.852059543
Contango is a technical term used by traders for a situation where a commodity costs less if a trader sells it tomorrow than it costs if the trader agrees to sell it in several months time.,184287,196252,NEUTRAL,0.724610209
"And it's a way in which the market encourages traders to hold on to a commodity, such as gas, to store it for when it is needed later in the year or early next year.",196420,208852,NEUTRAL,0.793519139
This chart tracks the difference between liquid natural gas prices next month compared to prices in two months'time.,209020,215322,NEUTRAL,0.905917227
"As you can see, on September 15, a trader would make $3.42 per million British thermal units if they held their tanker at sea until November rather than if they offloaded the gas in October.",215442,227307,NEUTRAL,0.833720386
"A month later, on October 13, that gap had more than doubled to about $7.50 per million British thermal units if they sold in December rather than in November.",227397,237747,NEUTRAL,0.781247199
The original target was to fill storage facilities to 80% of their total capacity by November 1.,237867,244267,NEUTRAL,0.86247468
That target has been met and exceeded far ahead of schedule.,244390,247392,POSITIVE,0.902608037
The latest data suggests storage is now at nearly 95% in total.,247452,251977,NEUTRAL,0.661197364
European natural gas prices have plunged more than 70% since hitting an alltime high in late August.,252145,258057,NEGATIVE,0.702592492
After storage facilities across the continent filled close to capacity.,258147,262242,NEUTRAL,0.824804306
"There isn't enough storage to get through winter if several things go wrong for example, if it's very cold, if Russian supplies stop altogether, and if supplies from Norway or the US.",262377,273217,NEGATIVE,0.843515754
Get disrupted in some way.,273265,274350,NEGATIVE,0.492495924
"Belgium, ridiculed by some for being boring, has now become europe's cocaine trafficking capital.",2412,12437,NEGATIVE,0.870119691
Criminal groups from the western Balkans have proved to be very entrepreneurial.,13612,18212,NEUTRAL,0.635099888
"In 2020, the port of Antwerp accounted for 40% of all cocaine seizures in the EU.",18562,25562,NEUTRAL,0.675854325
Cocaine is perhaps the ultimate criminal stealth.,25912,30627,NEGATIVE,0.589457035
It fought corruption of the local authorities and violence to the streets.,30807,35462,NEGATIVE,0.737146378
"Within ten years, we will end up having narco state.",36412,41675,NEUTRAL,0.499845803
So how did this happen?,42337,43867,NEUTRAL,0.759683013
"And what, if anything, can be done to curb the wealth and power of the traffickers?",43990,49037,NEUTRAL,0.541006327
June 2020.,61387,62842,NEUTRAL,0.707709849
